word,meaning,base_weight,last_seen,last_correct,correct_num
achieve,達成する,1.0,2000-01-01,2000-01-01,0
environment,環境,1.0,2000-01-01,2000-01-01,0
responsibility,責任,1.0,2000-01-01,2000-01-01,0
influence,影響,1.0,2000-01-01,2000-01-01,0
tradition,伝統,1.0,2000-01-01,2000-01-01,0
opportunity,機会,1.0,2000-01-01,2000-01-01,0
government,政府,1.0,2000-01-01,2000-01-01,0
necessary,必要な,1.0,2000-01-01,2000-01-01,0
experience,経験,1.0,2000-01-01,2000-01-01,0
society,社会,1.0,2000-01-01,2000-01-01,0
advantage,利点,1.0,2000-01-01,2000-01-01,0
communicate,伝達する,1.0,2000-01-01,2000-01-01,0
pollution,汚染,1.0,2000-01-01,2000-01-01,0
volunteer,ボランティア,1.0,2000-01-01,2000-01-01,0
population,人口,1.0,2000-01-01,2000-01-01,0
technology,技術,1.0,2000-01-01,2000-01-01,0
ceremony,式典,1.0,2000-01-01,2000-01-01,0
economy,経済,1.0,2000-01-01,2000-01-01,0
disaster,災害,1.0,2000-01-01,2000-01-01,0
grateful,感謝している,1.0,2000-01-01,2000-01-01,0
absence,欠席,1.0,2000-01-01,2000-01-01,0
border,国境,1.0,2000-01-01,2000-01-01,0
conflict,衝突,1.0,2026-02-23,2026-02-23,1
donate,寄付する,1.0,2000-01-01,2000-01-01,0
emotion,感情,1.0,2000-01-01,2000-01-01,0
fluent,流暢な,1.0,2000-01-01,2000-01-01,0
global,地球規模の,1.0,2000-01-01,2000-01-01,0
harvest,収穫,1.0,2000-01-01,2000-01-01,0
inspire,鼓舞する,1.0,2000-01-01,2000-01-01,0
justice,正義,1.0,2026-02-23,2000-01-01,0
kingdom,王国,1.0,2000-01-01,2000-01-01,0
liberty,自由,1.0,2000-01-01,2000-01-01,0
manufacture,製造する,1.0,2000-01-01,2000-01-01,0
negotiate,交渉する,1.0,2000-01-01,2000-01-01,0
obstacle,障害,1.0,2000-01-01,2000-01-01,0
precious,貴重な,1.0,2000-01-01,2000-01-01,0
quest,探求,1.0,2000-01-01,2000-01-01,0
reliable,信頼できる,1.0,2000-01-01,2000-01-01,0
sufficient,十分な,1.0,2000-01-01,2000-01-01,0
tolerate,容認する,1.0,2000-01-01,2000-01-01,0
